metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
precip,Jan,1,0.04033333333333333,0.0,0.89,0.0,0.0,0.0,0.0,0.05
precip,Jan,2,0.10366666666666667,0.0,0.91,0.0,0.0,0.0,0.08,0.33900000000000013
precip,Jan,3,0.11666666666666667,0.0,0.92,0.0,0.0,0.005,0.13,0.421
precip,Jan,4,0.15633333333333335,0.0,0.92,0.0,0.0,0.035,0.17,0.5150000000000002
precip,Jan,5,0.22066666666666668,0.0,1.02,0.0,0.02,0.135,0.3875,0.6060000000000001
precip,Jan,6,0.26,0.0,1.08,0.009000000000000005,0.0475,0.17,0.425,0.66
precip,Jan,7,0.279,0.0,1.19,0.019000000000000003,0.07,0.20500000000000002,0.425,0.66
precip,Jan,8,0.30566666666666664,0.0,1.5699999999999998,0.029,0.07,0.26,0.4275,0.681
precip,Jan,9,0.3253333333333333,0.0,2.08,0.029,0.08000000000000002,0.275,0.4375,0.6900000000000002
precip,Jan,10,0.39766666666666667,0.0,2.2,0.07,0.14250000000000002,0.30000000000000004,0.485,0.789
precip,Jan,11,0.46066666666666667,0.03,2.41,0.079,0.155,0.30500000000000005,0.59,0.9680000000000001
precip,Jan,12,0.499,0.03,2.41,0.079,0.1925,0.35,0.6675,1.0130000000000001
precip,Jan,13,0.517,0.03,2.45,0.079,0.22250000000000003,0.35,0.7925,1.0130000000000001
precip,Jan,14,0.5383333333333333,0.03,2.47,0.079,0.23500000000000004,0.35000000000000003,0.7925,1.0130000000000001
precip,Jan,15,0.6050000000000001,0.04,2.5300000000000002,0.079,0.2625,0.54,0.855,1.1159999999999999
precip,Jan,16,0.6296666666666667,0.04,2.7800000000000002,0.09800000000000002,0.315,0.54,0.855,1.1680000000000001
precip,Jan,17,0.7086666666666667,0.04,2.7800000000000002,0.10700000000000001,0.315,0.595,1.0325,1.2210000000000003
precip,Jan,18,0.759,0.08,2.89,0.22600000000000006,0.37500000000000006,0.7450000000000001,1.0625,1.2570000000000001
precip,Jan,19,0.8046666666666666,0.08,3.08,0.23400000000000004,0.4725,0.7450000000000001,1.1375,1.411
precip,Jan,20,0.825,0.08,3.08,0.23600000000000004,0.5175000000000001,0.795,1.1375,1.411
precip,Jan,21,0.932,0.08,3.08,0.286,0.525,0.8400000000000001,1.4100000000000001,1.6020000000000003
precip,Jan,22,0.9573333333333333,0.08,3.09,0.295,0.5750000000000001,0.875,1.4100000000000001,1.6030000000000002
precip,Jan,23,1.015,0.08,3.09,0.35400000000000004,0.5750000000000001,0.93,1.4175,1.7710000000000001
precip,Jan,24,1.0553333333333332,0.08,3.21,0.35400000000000004,0.595,0.965,1.4475,1.7720000000000002
precip,Jan,25,1.1383333333333332,0.08,3.21,0.4620000000000001,0.625,0.965,1.6175000000000002,1.9840000000000002
precip,Jan,26,1.1776666666666666,0.08,3.2199999999999998,0.4620000000000001,0.625,1.0,1.7525,2.0860000000000003
precip,Jan,27,1.2333333333333334,0.12000000000000001,3.2299999999999995,0.4620000000000001,0.625,1.24,1.755,2.1430000000000002
precip,Jan,28,1.2686666666666668,0.12000000000000001,3.2299999999999995,0.47000000000000003,0.6475,1.255,1.755,2.162
precip,Jan,29,1.3203333333333334,0.21000000000000002,3.2299999999999995,0.5960000000000001,0.8200000000000001,1.26,1.7550000000000001,2.162
precip,Jan,30,1.3703333333333334,0.32,3.2299999999999995,0.6230000000000001,0.8275000000000001,1.29,1.7875,2.162
precip,Jan,31,1.4093333333333333,0.38,3.2299999999999995,0.6230000000000001,0.8275000000000001,1.33,1.8050000000000002,2.18
precip,Feb,1,0.025,0.0,0.43,0.0,0.0,0.0,0.0,0.06600000000000009
precip,Feb,2,0.10333333333333333,0.0,1.08,0.0,0.0,0.0,0.06,0.36500000000000027
precip,Feb,3,0.13233333333333333,0.0,1.1,0.0,0.0,0.02,0.1375,0.44600000000000006
