date_formatted,day_of_year,month,day_of_year,normal_high,normal_low,normal_temp,max_temp_p10,max_temp_p90,min_temp_p10,min_temp_p90
Jan-01,1.0,Jan,1.0,35.48,22.45,28.69,25.19,46.24,11.82,32.65
Jan-02,2.0,Jan,2.0,35.45,22.43,28.69,25.16,46.21,11.79,32.63
Jan-03,3.0,Jan,3.0,35.43,22.42,28.7,25.15,46.19,11.78,32.62
Jan-04,4.0,Jan,4.0,35.43,22.42,28.72,25.15,46.19,11.77,32.61
Jan-05,5.0,Jan,5.0,35.45,22.43,28.76,25.17,46.21,11.78,32.62
Jan-06,6.0,Jan,6.0,35.48,22.45,28.8,25.2,46.24,11.8,32.63
Jan-07,7.0,Jan,7.0,35.52,22.48,28.86,25.24,46.28,11.84,32.64
Jan-08,8.0,Jan,8.0,35.57,22.51,28.92,25.3,46.34,11.88,32.67
Jan-09,9.0,Jan,9.0,35.64,22.56,29.0,25.37,46.42,11.94,32.7
Jan-10,10.0,Jan,10.0,35.72,22.61,29.08,25.44,46.51,12.0,32.74
Jan-11,11.0,Jan,11.0,35.82,22.67,29.18,25.54,46.61,12.08,32.78
Jan-12,12.0,Jan,12.0,35.92,22.74,29.28,25.64,46.73,12.17,32.83
Jan-13,13.0,Jan,13.0,36.04,22.82,29.39,25.75,46.86,12.26,32.89
Jan-14,14.0,Jan,14.0,36.17,22.9,29.51,25.88,47.0,12.37,32.95
Jan-15,15.0,Jan,15.0,36.3,22.99,29.64,26.01,47.16,12.49,33.02
Jan-16,16.0,Jan,16.0,36.45,23.09,29.78,26.16,47.32,12.61,33.1
Jan-17,17.0,Jan,17.0,36.61,23.19,29.92,26.31,47.5,12.75,33.18
Jan-18,18.0,Jan,18.0,36.78,23.31,30.08,26.48,47.69,12.89,33.27
Jan-19,19.0,Jan,19.0,36.96,23.42,30.24,26.65,47.89,13.04,33.36
Jan-20,20.0,Jan,20.0,37.15,23.55,30.4,26.84,48.09,13.2,33.46
