date_formatted,day_of_year,month,day_of_year,normal_high,normal_low,normal_temp,max_temp_p10,max_temp_p90,min_temp_p10,min_temp_p90
Jan-01,1.0,Jan,1.0,36.11,23.38,29.33,26.01,46.76,12.88,33.13
Jan-02,2.0,Jan,2.0,36.13,23.35,29.3,25.97,46.72,12.84,33.1
Jan-03,3.0,Jan,3.0,36.18,23.33,29.29,25.95,46.7,12.81,33.09
Jan-04,4.0,Jan,4.0,36.24,23.33,29.29,25.93,46.7,12.79,33.08
Jan-05,5.0,Jan,5.0,36.32,23.33,29.3,25.93,46.71,12.79,33.08
Jan-06,6.0,Jan,6.0,36.41,23.34,29.32,25.95,46.73,12.79,33.08
Jan-07,7.0,Jan,7.0,36.52,23.35,29.35,25.97,46.77,12.81,33.09
Jan-08,8.0,Jan,8.0,36.64,23.38,29.4,26.01,46.83,12.84,33.11
Jan-09,9.0,Jan,9.0,36.77,23.41,29.45,26.05,46.9,12.88,33.14
Jan-10,10.0,Jan,10.0,36.92,23.45,29.51,26.11,46.98,12.93,33.17
Jan-11,11.0,Jan,11.0,37.07,23.5,29.58,26.18,47.08,12.99,33.2
Jan-12,12.0,Jan,12.0,37.23,23.55,29.66,26.27,47.19,13.07,33.25
Jan-13,13.0,Jan,13.0,37.4,23.62,29.75,26.36,47.31,13.15,33.29
Jan-14,14.0,Jan,14.0,37.57,23.69,29.85,26.46,47.45,13.24,33.35
Jan-15,15.0,Jan,15.0,37.76,23.76,29.96,26.57,47.6,13.34,33.41
Jan-16,16.0,Jan,16.0,37.94,23.84,30.08,26.7,47.76,13.45,33.47
Jan-17,17.0,Jan,17.0,38.13,23.93,30.2,26.83,47.93,13.57,33.54
Jan-18,18.0,Jan,18.0,38.32,24.03,30.34,26.97,48.11,13.7,33.62
Jan-19,19.0,Jan,19.0,38.52,24.13,30.48,27.12,48.3,13.83,33.7
Jan-20,20.0,Jan,20.0,38.71,24.24,30.62,27.28,48.5,13.98,33.78
Jan-21,21.0,Jan,21.0,38.9,24.35,30.78,27.44,48.71,14.13,33.87
Jan-22,22.0,Jan,22.0,39.1,24.47,30.94,27.62,48.93,14.29,33.96
Jan-23,23.0,Jan,23.0,39.28,24.6,31.11,27.8,49.16,14.46,34.06
Jan-24,24.0,Jan,24.0,39.47,24.72,31.28,27.99,49.4,14.63,34.17
Jan-25,25.0,Jan,25.0,39.65,24.86,31.46,28.19,49.64,14.81,34.27
Jan-26,26.0,Jan,26.0,39.83,25.0,31.65,28.39,49.89,15.0,34.39
Jan-27,27.0,Jan,27.0,40.0,25.14,31.84,28.6,50.15,15.19,34.5
Jan-28,28.0,Jan,28.0,40.16,25.29,32.04,28.82,50.42,15.39,34.62
Jan-29,29.0,Jan,29.0,40.31,25.45,32.24,29.04,50.69,15.6,34.75
Jan-30,30.0,Jan,30.0,40.46,25.6,32.45,29.27,50.97,15.81,34.87
Jan-31,31.0,Jan,31.0,40.61,25.76,32.66,29.51,51.26,16.02,35.0
Feb-01,32.0,Feb,32.0,40.75,25.93,32.88,29.75,51.55,16.24,35.14
Feb-02,33.0,Feb,33.0,40.89,26.1,33.1,29.99,51.84,16.47,35.28
Feb-03,34.0,Feb,34.0,41.03,26.27,33.32,30.24,52.14,16.7,35.42
Feb-04,35.0,Feb,35.0,41.17,26.45,33.55,30.49,52.45,16.93,35.56
Feb-05,36.0,Feb,36.0,41.31,26.63,33.78,30.75,52.75,17.17,35.71
Feb-06,37.0,Feb,37.0,41.45,26.81,34.02,31.01,53.07,17.41,35.86
Feb-07,38.0,Feb,38.0,41.6,26.99,34.26,31.28,53.38,17.65,36.01
Feb-08,39.0,Feb,39.0,41.75,27.18,34.5,31.55,53.7,17.9,36.16
Feb-09,40.0,Feb,40.0,41.91,27.37,34.74,31.82,54.01,18.15,36.32
Feb-10,41.0,Feb,41.0,42.07,27.56,34.98,32.09,54.34,18.4,36.48
Feb-11,42.0,Feb,42.0,42.24,27.76,35.23,32.37,54.66,18.65,36.64
Feb-12,43.0,Feb,43.0,42.43,27.95,35.48,32.64,54.98,18.91,36.81
Feb-13,44.0,Feb,44.0,42.62,28.15,35.73,32.92,55.3,19.16,36.97
Feb-14,45.0,Feb,45.0,42.82,28.35,35.98,33.21,55.63,19.42,37.14
